state_code,city,lat,lon,price_per_gallon,name,address,opis_id
NJ,Trenton,38.94008,-72.553364,3.899,SUNOCO- RICHARD STOCKTON PLAZA #7009,NJ TURNPIKE MILE POST 58.7,65315
NJ,Clementon,40.022433,-72.323952,3.199,PHILLIPS 66,US-30,65319
NJ,Ledgewood,40.234198,-73.982776,4.099,PILOT #891,"I-80, EXIT 27B",65320
NJ,North Bergen,41.622433,-72.623952,3.259,THIND TRAVEL PLAZA,SR-20,65328
CO,Towaoc,38.453929,-105.161104,3.4573,UTE MOUNTAIN TRAVEL CENTER,US-160 & US-491,65329
NJ,Pennsauken,39.845963,-73.541599,3.329,BETTY ROSS TRUCK STOP /BP,US-130 & SR-73,65332
NJ,Phillipsburg,41.245963,-72.288658,3.329,SUNOCO,US 22 WEST,65334
NJ,Phillipsburg,41.245963,-72.288658,3.359,CONOCO,US-22,65335
NJ,Newark,40.7357,-74.1724,3.879,SWIFT FUEL STOP,"I-78, EXIT 13",65338
NJ,Ridgefield,41.469492,-75.235717,3.229,US GAS & DIESEL,US-46,65339
NJ,South Plainfield,41.293022,-75.959246,3.999,ENRITE,"I-287, EXIT 4",65343
NJ,North Brunswick,41.257728,-72.341599,3.1657,SOUTH BRUNSWICK VALERO,US-130,65345
NJ,Vineland,40.104786,-75.941599,3.359,Phillips 66,"I-295, EXIT 1",65350
NJ,Vineland,40.104786,-75.941599,3.269,RIGGINS TRUCK PLAZA,"I-55, EXIT 26",65351
NJ,Woodbridge,39.128316,-75.412187,3.899,SUNOCO- GROVER CLEVELAND TRAVEL PLAZA #7014,"NORTH NJ TNPK, EXIT 11",65353
NM,Lemitar,33.775809,-104.651423,3.299,ROAD RUNNER TRAVEL CENTER,"I-25, EXIT 156",65359
NM,Roswell,33.3943,-104.523,3.3657,Roswell #60,US-285,65360
NM,Algodones,36.093456,-106.133776,3.269,BLACK MESA TRAVEL CENTER,"I-25, EXIT 252",65361
NV,Hawthorne,39.307633,-116.711256,4.079,CHEVRON #381125,US-95,65365
NY,Champlain,42.30102,-73.333345,3.799,CHAMPLAIN PETERBILT FUEL MART,"I-87, EXIT 43",65373
NY,Glenmont,42.253961,-75.327463,3.699,PETROL 9 W,US-9W,65377
NY,Harpursville,42.171608,-76.42158,4.659,MIRABITO #74,"SR-79 N/I-88E, EXIT 6",65379
NY,Irving,41.148079,-73.774522,2.949,NATIVE PRIDE,"I-90, EXIT 58 & US-20",65381
NY,Limestone,43.32455,-74.992169,3.129,M AND M ALLEGANY JUNCTION,"I-86/SR-17, EXIT 23 & US-219/US-219 BUS",65383
NY,Otego,42.065726,-74.268639,3.999,MIRABITO #73,"I-88, EXIT 12",65386
NY,Peru,43.548079,-73.686286,3.799,MAPLEFIELDS,SR-22 & SR-442,65387
NY,Seneca Falls,41.159844,-73.986286,3.999,CIRCLE K #4707622,"I-90, EXIT 41",65392
OH,Ashland,39.288783,-81.997268,3.499,BELLSTORES #132,US-30 & SR-60,65395
OH,Brookpark,39.641724,-84.62668,3.669,QUICK FUEL #2306,"I-480, EXIT 12",65398
OH,Bucyrus,39.488783,-82.209033,3.5073,NORTHSIDE FUEL STOP,US-30 & SR-19,65400
OH,Cleveland,41.4993,-81.6944,3.7657,MOBIL,"I-90/SR-2, EXIT 182B",65406
OH,Jackson,32.2988,-90.1848,3.699,CLARKS PUMP N SHOP #10,SR- 32,65411
OH,Massillon,40.841724,-83.90315,3.4823,SPEEDWAY #9314,US-20 & SR-21,65415
OH,Rossford,41.029959,-84.397268,3.599,BARNEYS CONVENIENCE MART #15,"I-75, EXIT 195 & I-90, EXIT 64 & SR-795",65423
OH,Ashville,40.500548,-80.673739,3.089,CIRCLE K #4705357,US-23 & SR-316,65426
OH,Steubenville,39.571136,-82.932562,3.639,QUICK MART AND MORE,US-22 & SR-43,65431
OK,Elk City,35.412,-99.4043,2.969,HUTCH'S #103,SR-6 & SR-66,65441
OK,Hugo,36.324166,-96.549505,2.969,TXB #24 dba Kwik Chek Food Stores,US-70,65444
OK,Idabel,36.147695,-97.184799,3.199,QWIK CHEQUE,US-70 & SR-37,65445
OK,Oologah,34.277107,-98.278917,3.159,Petes #15,US-169 & SR-88,65451
OK,Thackerville,34.73593,-98.790682,2.9323,THACKERSVILLE TRAVEL PLAZA,"I-35, EXIT 1",65457
GA,Newnan,31.634737,-83.898956,3.699,PILOT TRAVEL CENTER #422,"I-85, EXIT 41 & US-29",65490
GA,Union Point,31.822972,-84.446015,3.859,FLYING J TRAVEL PLAZA #633,"I-20, EXIT 138",65494
PA,Bedford,41.078987,-77.059755,4.0923,GETGO #3602,"I-76, EXIT 146 & I-99, EXIT 1 & US-220",65513
PA,Bethel,39.78487,-78.506814,3.3473,ONVO TRAVEL PLAZA,"I-78, EXIT 13 & SR- 501",65514
PA,Crescent,39.290752,-75.224461,3.799,KWIK FILL #239,ST 51,65518
PA,East Berlin,41.514281,-75.753873,4.294,RUTTERS #17,US-15 & SR-234,65521
PA,East Earl,39.608399,-78.17152,3.7857,TURKEY HILL #950324,US-322 & SR-23/SR-897,65522
PA,Everett,40.655458,-78.506814,4.099,SAC SHOP #512,US-30,65523
PA,Everett,40.655458,-78.506814,4.099,SAC SHOP #514,I-76/I-70 & US-30,65524
PA,Fairless Hills,39.314281,-79.230343,3.899,SHELL,"I-95, EXIT 46A & US-1",65525
PA,Greencastle,40.514281,-75.065637,3.899,SUNOCO SERVICE STATION,"I-81, EXIT 5",65527
PA,Hershey,41.96134,-76.724461,3.9673,7-ELEVEN #40284,"I-76, EXIT 19/247",65530
PA,Mill Hall,41.537811,-75.453873,4.0157,PILOT TRAVEL CENTERS #1,"I-80,  EXIT 173",65532
PA,Liberty,41.055458,-77.889167,3.699,LIBERTY EXXON,US-15 & SR-414,65533
PA,Nanty Glo,41.090752,-77.377402,3.5173,SHEETZ #048,US-22,65537
PA,Natrona Heights,41.38487,-76.195049,4.1923,WELMART,"SR-28, EXIT 16",65538
PA,Stockertown,39.526046,-78.736226,3.699,T&C MINI MART,SR-33 & SR-191,65549
